name,cao_code,tags,nfq_level,duration,description,course_url,points,entry_requirements,career_info,keywords,college_id,created_at
Archaeology - Buildings Archaeology - Sligo,,General,8,,,https://www.qualifax.ie/course/220192,0,,,"archaeology, buildings, general, sligo",1,2025-01-25T15:00:00
Archaeology - Introduction to Archaeological Interpretation - Sligo,,General,8,,,https://www.qualifax.ie/course/220193,0,,,"archaeological, archaeology, general, interpretation, introduction, sligo",1,2025-01-25T15:00:00
Art Craft & Design - Portfolio,,Arts,8,,,https://www.qualifax.ie/course/596,0,,,"art, arts, craft, design, portfolio",1,2025-01-25T15:00:00
Digital Media Skills,,Arts,8,,,https://www.qualifax.ie/course/223848,0,,,"arts, digital, media, skills",1,2025-01-25T15:00:00
E-Business & Office Skills,,Business,8,,,https://www.qualifax.ie/course/219908,0,,,"business, office, skills",1,2025-01-25T15:00:00
Early Learning and Care Advanced Certificate - Stage 2,,"Education, Health",6,,,https://www.qualifax.ie/course/223129,0,,," health, advanced, care, certificate, early, education, learning, stage",1,2025-01-25T15:00:00
GREAT Cognitive Rehabilitation - E-Learning,,General,8,,,https://www.qualifax.ie/course/221910,0,,,"cognitive, general, great, learning, rehabilitation",1,2025-01-25T15:00:00
Interview & CV Preparation - Career Planning - Thurles,,Health,8,,,https://www.qualifax.ie/course/223577,0,,,"career, health, interview, planning, preparation, thurles",1,2025-01-25T15:00:00
Special Needs Assistant - Community Health Services,,Health,8,,,https://www.qualifax.ie/course/6030,0,,,"assistant, community, health, needs, services, special",1,2025-01-25T15:00:00
Sustainable Horticulture with Biodiversity,,General,8,,,https://www.qualifax.ie/course/223077,0,,,"biodiversity, general, horticulture, sustainable",1,2025-01-25T15:00:00
2D & 3D Digital Animation Production,,General,8,,,https://www.qualifax.ie/course/97195,0,,,"animation, digital, general, production",1,2025-01-25T15:00:00
2D Computer Aided Design,,"Arts, STEM",8,,,https://www.qualifax.ie/course/223527,0,,," stem, aided, arts, computer, design",1,2025-01-25T15:00:00
3D Animation,,General,8,,,https://www.qualifax.ie/course/114153,0,,,"animation, general",1,2025-01-25T15:00:00
3D Animation - with Motion Graphics,,General,8,,,https://www.qualifax.ie/course/109021,0,,,"animation, general, graphics, motion",1,2025-01-25T15:00:00
3D Animation - with Portfolio Preparation,,General,8,,,https://www.qualifax.ie/course/220061,0,,,"animation, general, portfolio, preparation",1,2025-01-25T15:00:00
3D Design for Emerging Technologies - Letterkenny,,Arts,8,,,https://www.qualifax.ie/course/218444,0,,,"arts, design, emerging, letterkenny, technologies",1,2025-01-25T15:00:00
3D Game Design,,Arts,8,,,https://www.qualifax.ie/course/56640,0,,,"arts, design, game",1,2025-01-25T15:00:00
3D Modelling & Animation - Letterkenny,,General,8,,,https://www.qualifax.ie/course/115209,0,,,"animation, general, letterkenny, modelling",1,2025-01-25T15:00:00
3rd Annual Health Care Assistants Study Day,,Health,8,,,https://www.qualifax.ie/course/221902,0,,,"3rd, annual, assistants, care, day, health, study",1,2025-01-25T15:00:00
CAO Page,,General,8,,,https://www.qualifax.ie/node/206131,0,,,"cao, general, page",1,2025-01-25T15:00:00
Education System,,Education,8,,,https://www.qualifax.ie/node/206102,0,,,"education, system",1,2025-01-25T15:00:00
Information Hub,,General,8,,,https://www.qualifax.ie/information-hub,0,,,"general, hub, information",1,2025-01-25T15:00:00
Other QQI Resources,,General,8,,,https://www.qualifax.ie/node/206103,0,,,"general, other, qqi, resources",1,2025-01-25T15:00:00
What We Do,,General,8,,,https://www.qualifax.ie/node/206101,0,,,"general, what",1,2025-01-25T15:00:00
Who We Are,,General,8,,,https://www.qualifax.ie/node/206100,0,,,"general, who",1,2025-01-25T15:00:00
Inside Social Care Open Day,,Health,8,,,https://www.qualifax.ie/events/inside-social-care-open-day,0,,,"care, day, health, inside, open, social",1,2025-01-25T15:00:00
2026 Deadline for Completion of DARE Application Form,,General,8,,,https://www.qualifax.ie/events/2026-deadline-for-completion-of-dare-application-form,0,,,"2026, application, completion, dare, deadline, form, general",1,2025-01-25T15:00:00
2026 Deadline for Completion of the Online HEAR Application Form,,General,8,,,https://www.qualifax.ie/events/2026-deadline-for-completion-of-the-online-hear-application-form,0,,,"2026, application, completion, deadline, form, general, hear, online",1,2025-01-25T15:00:00
