cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page,keywords
,E-Business & Office Skills,,8,,Business,https://www.qualifax.ie/course/219908,1,0,,,2025-01-25T15:00:00,0,"business, office, skills"
,5th Dublin Advanced Pain & Symptom Management Course,,8,,Business,https://www.qualifax.ie/course/219444,1,0,,,2025-01-25T15:00:00,1,"5th, advanced, business, dublin, management, pain, symptom"
,Accountancy - Chartered Institute of Management Accountants - CIMA,,9,,"Arts, Business",https://www.qualifax.ie/course/110852,1,0,,,2025-01-25T15:00:00,2," business, accountancy, accountants, arts, chartered, cima, institute, management"
,Accountancy & Finance - Structured,,8,,Business,https://www.qualifax.ie/course/224326,1,0,,,2025-01-25T15:00:00,3,"accountancy, business, finance, structured"
,"Accountancy, Business & Taxation",,8,,Business,https://www.qualifax.ie/course/83648,1,0,,,2025-01-25T15:00:00,3,"accountancy, business, taxation"
,Accounting,,8,,Business,https://www.qualifax.ie/course/115254,1,0,,,2025-01-25T15:00:00,3,"accounting, business"
,Accounting - Advanced,,8,,Business,https://www.qualifax.ie/course/110556,1,0,,,2025-01-25T15:00:00,3,"accounting, advanced, business"
,Accounting - Advanced Accounting with Placement,,8,,Business,https://www.qualifax.ie/course/3313,1,0,,,2025-01-25T15:00:00,3,"accounting, advanced, business, placement"
,Accounting - Advanced Entry - Aungier Street,,8,,Business,https://www.qualifax.ie/course/224003,1,0,,,2025-01-25T15:00:00,3,"accounting, advanced, aungier, business, entry, street"
,Accounting - Athlone,,8,,Business,https://www.qualifax.ie/course/25064,1,0,,,2025-01-25T15:00:00,3,"accounting, athlone, business"
,Accounting - Aungier Street,,8,,Business,https://www.qualifax.ie/course/1670,1,0,,,2025-01-25T15:00:00,4,"accounting, aungier, business, street"
,Accounting - Carlow,,8,,Business,https://www.qualifax.ie/course/42560,1,0,,,2025-01-25T15:00:00,4,"accounting, business, carlow"
,Accounting - Conversion Course - Aungier Street,,8,,Business,https://www.qualifax.ie/course/18958,1,0,,,2025-01-25T15:00:00,4,"accounting, aungier, business, conversion, street"
