cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page,keywords
,Archaeology - Buildings Archaeology - Sligo,,8,,General,https://www.qualifax.ie/course/220192,1,0,,,2025-01-25T15:00:00,0,"archaeology, buildings, general, sligo"
,Archaeology - Introduction to Archaeological Interpretation - Sligo,,8,,General,https://www.qualifax.ie/course/220193,1,0,,,2025-01-25T15:00:00,0,"archaeological, archaeology, general, interpretation, introduction, sligo"
,Art Craft & Design - Portfolio,,8,,Arts,https://www.qualifax.ie/course/596,1,0,,,2025-01-25T15:00:00,0,"art, arts, craft, design, portfolio"
,Digital Media Skills,,8,,Arts,https://www.qualifax.ie/course/223848,1,0,,,2025-01-25T15:00:00,0,"arts, digital, media, skills"
,E-Business & Office Skills,,8,,Business,https://www.qualifax.ie/course/219908,1,0,,,2025-01-25T15:00:00,0,"business, office, skills"
,Early Learning and Care Advanced Certificate - Stage 2,,6,,"Education, Health",https://www.qualifax.ie/course/223129,1,0,,,2025-01-25T15:00:00,0," health, advanced, care, certificate, early, education, learning, stage"
,GREAT Cognitive Rehabilitation - E-Learning,,8,,General,https://www.qualifax.ie/course/221910,1,0,,,2025-01-25T15:00:00,0,"cognitive, general, great, learning, rehabilitation"
,Interview & CV Preparation - Career Planning - Thurles,,8,,Health,https://www.qualifax.ie/course/223577,1,0,,,2025-01-25T15:00:00,0,"career, health, interview, planning, preparation, thurles"
,Special Needs Assistant - Community Health Services,,8,,Health,https://www.qualifax.ie/course/6030,1,0,,,2025-01-25T15:00:00,0,"assistant, community, health, needs, services, special"
,Sustainable Horticulture with Biodiversity,,8,,General,https://www.qualifax.ie/course/223077,1,0,,,2025-01-25T15:00:00,0,"biodiversity, general, horticulture, sustainable"
,2D & 3D Digital Animation Production,,8,,General,https://www.qualifax.ie/course/97195,1,0,,,2025-01-25T15:00:00,0,"animation, digital, general, production"
,2D Computer Aided Design,,8,,"Arts, STEM",https://www.qualifax.ie/course/223527,1,0,,,2025-01-25T15:00:00,0," stem, aided, arts, computer, design"
,3D Animation,,8,,General,https://www.qualifax.ie/course/114153,1,0,,,2025-01-25T15:00:00,0,"animation, general"
