cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page,keywords
,Education System,,8,,Education,https://www.qualifax.ie/node/206102,1,0,,,2025-01-25T15:00:00,0,"education, system"
,Abbeyleix Further Education & Training Centre,,8,,Education,https://www.qualifax.ie/providers/abbeyleix-further-education-training-centre,1,0,,,2025-01-25T15:00:00,1,"abbeyleix, centre, education, further, training"
,Access Course for Higher Education - Young Adults TAP,,8,,Education,https://www.qualifax.ie/course/11710,1,0,,,2025-01-25T15:00:00,2,"access, adults, education, higher, tap, young"
,Access for Higher Education,,8,,Education,https://www.qualifax.ie/course/218307,1,0,,,2025-01-25T15:00:00,2,"access, education, higher"
,Access For Higher Education - Letterkenny,,8,,Education,https://www.qualifax.ie/course/108005,1,0,,,2025-01-25T15:00:00,2,"access, education, higher, letterkenny"
,Adult Basic Education,,8,,Education,https://www.qualifax.ie/course/48532,1,0,,,2025-01-25T15:00:00,9,"adult, basic, education"
,Adult Basic Education Service - Literacy,,8,,Education,https://www.qualifax.ie/course/83084,1,0,,,2025-01-25T15:00:00,9,"adult, basic, education, literacy, service"
,Adult Education Service Balbriggan,,8,,Education,https://www.qualifax.ie/providers/adult-education-service-balbriggan,1,0,,,2025-01-25T15:00:00,10,"adult, balbriggan, education, service"
,Adult Education Service Blanchardstown,,8,,Education,https://www.qualifax.ie/providers/adult-education-service-blanchardstown,1,0,,,2025-01-25T15:00:00,10,"adult, blanchardstown, education, service"
,Adult Literacy & Basic Education,,8,,Education,https://www.qualifax.ie/course/48511,1,0,,,2025-01-25T15:00:00,11,"adult, basic, education, literacy"
,An Tochar Adult Education Centre,,8,,Education,https://www.qualifax.ie/providers/an-tochar-adult-education-centre,1,0,,,2025-01-25T15:00:00,16,"adult, centre, education, tochar"
,AONTAS Adult Education Summit 2025,,8,,Education,https://www.qualifax.ie/events/aontas-adult-education-summit-2025,1,0,,,2025-01-25T15:00:00,22,"2025, adult, aontas, education, summit"
,Autism Education,,8,,Education,https://www.qualifax.ie/course/104688,1,0,,,2025-01-25T15:00:00,45,"autism, education"
,Back to Education Initiative BTEI,,8,,Education,https://www.qualifax.ie/course/108593,1,0,,,2025-01-25T15:00:00,47,"back, btei, education, initiative"
,Banagher Further Education & Training Centre,,8,,Education,https://www.qualifax.ie/providers/banagher-further-education-training-centre,1,0,,,2025-01-25T15:00:00,48,"banagher, centre, education, further, training"
,Bespoke Education,,8,,Education,https://www.qualifax.ie/course/220148,1,0,,,2025-01-25T15:00:00,52,"bespoke, education"
,Billingual Education - Research,,8,,Education,https://www.qualifax.ie/course/224544,1,0,,,2025-01-25T15:00:00,52,"billingual, education, research"
,Birr Further Education Centre,,8,,Education,https://www.qualifax.ie/providers/birr-further-education-centre,1,0,,,2025-01-25T15:00:00,58,"birr, centre, education, further"
,BJD Adult Education Centre Ballyjamesduff,,8,,Education,https://www.qualifax.ie/providers/bjd-adult-education-centre-ballyjamesduff,1,0,,,2025-01-25T15:00:00,58,"adult, ballyjamesduff, bjd, centre, education"
,Bray Further Education & Training Centre,,8,,Education,https://www.qualifax.ie/providers/bray-further-education-training-centre,1,0,,,2025-01-25T15:00:00,59,"bray, centre, education, further, training"
,Bray Institute of Further Education,,8,,Education,https://www.qualifax.ie/providers/bray-institute-of-further-education,1,0,,,2025-01-25T15:00:00,59,"bray, education, further, institute"
,Carlow Institute of Further Education & Training,,8,,Education,https://www.qualifax.ie/providers/carlow-institute-of-further-education-training,1,0,,,2025-01-25T15:00:00,91,"carlow, education, further, institute, training"
,Castel Education,,8,,Education,https://www.qualifax.ie/providers/castel-education,1,0,,,2025-01-25T15:00:00,91,"castel, education"
,Catholic Religious Education & Theological Studies,,8,,Education,https://www.qualifax.ie/course/221869,1,0,,,2025-01-25T15:00:00,92,"catholic, education, religious, studies, theological"
,Centre for Excellence in Learning & Teaching - CELT - Research,,8,,Education,https://www.qualifax.ie/course/65837,1,0,,,2025-01-25T15:00:00,93,"celt, centre, education, excellence, learning, research, teaching"
,Centre of Childrens Nurse Education,,8,,Education,https://www.qualifax.ie/providers/centre-of-childrens-nurse-education,1,0,,,2025-01-25T15:00:00,93,"centre, childrens, education, nurse"
,Chinese - Teaching Chinese to Speakers of Other Languages,,8,,Education,https://www.qualifax.ie/course/93369,1,0,,,2025-01-25T15:00:00,96,"chinese, education, languages, other, speakers, teaching"
