cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page,keywords
,Archaeology - Buildings Archaeology - Sligo,,8,,General,https://www.qualifax.ie/course/220192,1,0,,,2025-01-25T15:00:00,0,"archaeology, buildings, general, sligo"
,Archaeology - Introduction to Archaeological Interpretation - Sligo,,8,,General,https://www.qualifax.ie/course/220193,1,0,,,2025-01-25T15:00:00,0,"archaeological, archaeology, general, interpretation, introduction, sligo"
,GREAT Cognitive Rehabilitation - E-Learning,,8,,General,https://www.qualifax.ie/course/221910,1,0,,,2025-01-25T15:00:00,0,"cognitive, general, great, learning, rehabilitation"
,Sustainable Horticulture with Biodiversity,,8,,General,https://www.qualifax.ie/course/223077,1,0,,,2025-01-25T15:00:00,0,"biodiversity, general, horticulture, sustainable"
,2D & 3D Digital Animation Production,,8,,General,https://www.qualifax.ie/course/97195,1,0,,,2025-01-25T15:00:00,0,"animation, digital, general, production"
,3D Animation,,8,,General,https://www.qualifax.ie/course/114153,1,0,,,2025-01-25T15:00:00,0,"animation, general"
,3D Animation - with Motion Graphics,,8,,General,https://www.qualifax.ie/course/109021,1,0,,,2025-01-25T15:00:00,0,"animation, general, graphics, motion"
,3D Animation - with Portfolio Preparation,,8,,General,https://www.qualifax.ie/course/220061,1,0,,,2025-01-25T15:00:00,0,"animation, general, portfolio, preparation"
,3D Modelling & Animation - Letterkenny,,8,,General,https://www.qualifax.ie/course/115209,1,0,,,2025-01-25T15:00:00,0,"animation, general, letterkenny, modelling"
,Ability Pathways (MAP) Project - Mapping Inclusive Futures,,8,,General,https://www.qualifax.ie/course/219998,1,0,,,2025-01-25T15:00:00,0,"ability, futures, general, inclusive, map, mapping, pathways, project"
,Abrasive Wheels Instructor,,8,,General,https://www.qualifax.ie/course/223438,1,0,,,2025-01-25T15:00:00,0,"abrasive, general, instructor, wheels"
,Access,,8,,General,https://www.qualifax.ie/course/94563,1,0,,,2025-01-25T15:00:00,0,"access, general"
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/94949,1,0,,,2025-01-25T15:00:00,0,"access, employability, general, skills"
,Access - General Learning,,8,,General,https://www.qualifax.ie/course/95163,1,0,,,2025-01-25T15:00:00,0,"access, general, learning"
