cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page,keywords
,Early Learning and Care Advanced Certificate - Stage 2,,6,,"Education, Health",https://www.qualifax.ie/course/223129,1,0,,,2025-01-25T15:00:00,0," health, advanced, care, certificate, early, education, learning, stage"
,Accountancy - Association of Chartered Certified Accountants - ACCA,,6,,Arts,https://www.qualifax.ie/course/85173,1,0,,,2025-01-25T15:00:00,2,"acca, accountancy, accountants, arts, association, certified, chartered"
,Accounting Technician - Certified - ACCA,,6,,Business,https://www.qualifax.ie/course/3273,1,0,,,2025-01-25T15:00:00,6,"acca, accounting, business, certified, technician"
,Adult Green Cert - Part-time & Distance Learning Programme,,6,,Arts,https://www.qualifax.ie/course/74251,1,0,,,2025-01-25T15:00:00,10,"adult, arts, cert, distance, green, learning, part, time"
,Agriculture - Green Cert,,6,,General,https://www.qualifax.ie/course/75750,1,0,,,2025-01-25T15:00:00,14,"agriculture, cert, general, green"
,Agriculture & Farming - The Green Cert,,6,,General,https://www.qualifax.ie/course/113066,1,0,,,2025-01-25T15:00:00,15,"agriculture, cert, farming, general, green"
,Agriculture Green Cert,,6,,General,https://www.qualifax.ie/course/66526,1,0,,,2025-01-25T15:00:00,15,"agriculture, cert, general, green"
,Animal Welfare Training - Certificate of Competence (COC),,6,,General,https://www.qualifax.ie/course/88005,1,0,,,2025-01-25T15:00:00,20,"animal, certificate, coc, competence, general, training, welfare"
,Appeals Result - Leaving Certificate Results 2025,,6,,General,https://www.qualifax.ie/events/appeals-result-leaving-certificate-results-2025,1,0,,,2025-01-25T15:00:00,22,"2025, appeals, certificate, general, leaving, result, results"
,Art - Advanced Certificate,,6,,Arts,https://www.qualifax.ie/course/28035,1,0,,,2025-01-25T15:00:00,31,"advanced, art, arts, certificate"
,Cavan Institute Leaving Certificate Information Evening,,6,,General,https://www.qualifax.ie/events/cavan-institute-leaving-certificate-information-evening,1,0,,,2025-01-25T15:00:00,92,"cavan, certificate, evening, general, information, institute, leaving"
,Certified Network Associate - Cork,,6,,General,https://www.qualifax.ie/course/218110,1,0,,,2025-01-25T15:00:00,93,"associate, certified, cork, general, network"
,Certified Public Accountants Ireland,,6,,General,https://www.qualifax.ie/providers/certified-public-accountants-ireland,1,0,,,2025-01-25T15:00:00,93,"accountants, certified, general, ireland, public"
