cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at
,Archaeology - Buildings Archaeology - Sligo,,8,,General,https://www.qualifax.ie/course/220192,1,0,,,2025-01-25T15:00:00
,Archaeology - Introduction to Archaeological Interpretation - Sligo,,8,,General,https://www.qualifax.ie/course/220193,1,0,,,2025-01-25T15:00:00
,Art Craft & Design - Portfolio,,8,,Arts,https://www.qualifax.ie/course/596,1,0,,,2025-01-25T15:00:00
,Digital Media Skills,,8,,General,https://www.qualifax.ie/course/223848,1,0,,,2025-01-25T15:00:00
,E-Business & Office Skills,,8,,Business,https://www.qualifax.ie/course/219908,1,0,,,2025-01-25T15:00:00
,Early Learning and Care Advanced Certificate - Stage 2,,6,,General,https://www.qualifax.ie/course/223129,1,0,,,2025-01-25T15:00:00
,GREAT Cognitive Rehabilitation - E-Learning,,8,,General,https://www.qualifax.ie/course/221910,1,0,,,2025-01-25T15:00:00
,Interview & CV Preparation - Career Planning - Thurles,,8,,General,https://www.qualifax.ie/course/223577,1,0,,,2025-01-25T15:00:00
,Special Needs Assistant - Community Health Services,,8,,Health,https://www.qualifax.ie/course/6030,1,0,,,2025-01-25T15:00:00
,Sustainable Horticulture with Biodiversity,,8,,General,https://www.qualifax.ie/course/223077,1,0,,,2025-01-25T15:00:00
,2D & 3D Digital Animation Production,,8,,General,https://www.qualifax.ie/course/97195,1,0,,,2025-01-25T15:00:00
,2D Computer Aided Design,,8,,STEM,https://www.qualifax.ie/course/223527,1,0,,,2025-01-25T15:00:00
,3D Animation,,8,,General,https://www.qualifax.ie/course/114153,1,0,,,2025-01-25T15:00:00
,3D Animation - with Motion Graphics,,8,,General,https://www.qualifax.ie/course/109021,1,0,,,2025-01-25T15:00:00
,3D Animation - with Portfolio Preparation,,8,,General,https://www.qualifax.ie/course/220061,1,0,,,2025-01-25T15:00:00
,3D Design for Emerging Technologies - Letterkenny,,8,,Arts,https://www.qualifax.ie/course/218444,1,0,,,2025-01-25T15:00:00
,3D Game Design,,8,,Arts,https://www.qualifax.ie/course/56640,1,0,,,2025-01-25T15:00:00
,3D Modelling & Animation - Letterkenny,,8,,General,https://www.qualifax.ie/course/115209,1,0,,,2025-01-25T15:00:00
,3rd Annual Health Care Assistants Study Day,,8,,Health,https://www.qualifax.ie/course/221902,1,0,,,2025-01-25T15:00:00
,About Us,,8,,General,https://www.qualifax.ie/about-us,1,0,,,2025-01-25T15:00:00
,Accessibility Statement,,8,,General,https://www.qualifax.ie/node/219505,1,0,,,2025-01-25T15:00:00
,CAO Page,,8,,General,https://www.qualifax.ie/node/206131,1,0,,,2025-01-25T15:00:00
,Contact Us,,8,,General,https://www.qualifax.ie/contact-us,1,0,,,2025-01-25T15:00:00
,Cookie Policy,,8,,General,https://www.qualifax.ie/cookie-policy,1,0,,,2025-01-25T15:00:00
,Education System,,8,,General,https://www.qualifax.ie/node/206102,1,0,,,2025-01-25T15:00:00
,Help,,8,,General,https://www.qualifax.ie/help,1,0,,,2025-01-25T15:00:00
,Information Hub,,8,,General,https://www.qualifax.ie/information-hub,1,0,,,2025-01-25T15:00:00
,Other QQI Resources,,8,,General,https://www.qualifax.ie/node/206103,1,0,,,2025-01-25T15:00:00
,What We Do,,8,,General,https://www.qualifax.ie/node/206101,1,0,,,2025-01-25T15:00:00
,Who We Are,,8,,General,https://www.qualifax.ie/node/206100,1,0,,,2025-01-25T15:00:00
