cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page
,About Us,,8,,General,https://www.qualifax.ie/about-us,1,0,,,2025-01-25T15:00:00,0
,Accessibility Statement,,8,,General,https://www.qualifax.ie/node/219505,1,0,,,2025-01-25T15:00:00,0
,CAO Page,,8,,General,https://www.qualifax.ie/node/206131,1,0,,,2025-01-25T15:00:00,0
,Contact Us,,8,,General,https://www.qualifax.ie/contact-us,1,0,,,2025-01-25T15:00:00,0
,Cookie Policy,,8,,General,https://www.qualifax.ie/cookie-policy,1,0,,,2025-01-25T15:00:00,0
,Education System,,8,,Education,https://www.qualifax.ie/node/206102,1,0,,,2025-01-25T15:00:00,0
,Help,,8,,General,https://www.qualifax.ie/help,1,0,,,2025-01-25T15:00:00,0
,Information Hub,,8,,General,https://www.qualifax.ie/information-hub,1,0,,,2025-01-25T15:00:00,0
,Other QQI Resources,,8,,General,https://www.qualifax.ie/node/206103,1,0,,,2025-01-25T15:00:00,0
,What We Do,,8,,General,https://www.qualifax.ie/node/206101,1,0,,,2025-01-25T15:00:00,0
,Who We Are,,8,,General,https://www.qualifax.ie/node/206100,1,0,,,2025-01-25T15:00:00,0
,Archaeology - Buildings Archaeology - Sligo,,8,,General,https://www.qualifax.ie/course/220192,1,0,,,2025-01-25T15:00:00,0
,Archaeology - Buildings Archaeology - Sligo,,8,,General,https://www.qualifax.ie/course/222559,1,0,,,2025-01-25T15:00:00,0
,Archaeology - Introduction to Archaeological Interpretation - Sligo,,8,,General,https://www.qualifax.ie/course/220193,1,0,,,2025-01-25T15:00:00,0
,Art Craft & Design - Portfolio,,8,,Arts,https://www.qualifax.ie/course/596,1,0,,,2025-01-25T15:00:00,0
,Digital Media Skills,,8,,Arts,https://www.qualifax.ie/course/223848,1,0,,,2025-01-25T15:00:00,0
,E-Business & Office Skills,,8,,Business,https://www.qualifax.ie/course/219908,1,0,,,2025-01-25T15:00:00,0
,Early Learning and Care Advanced Certificate - Stage 2,,6,,Health,https://www.qualifax.ie/course/223129,1,0,,,2025-01-25T15:00:00,0
,GREAT Cognitive Rehabilitation - E-Learning,,8,,General,https://www.qualifax.ie/course/221910,1,0,,,2025-01-25T15:00:00,0
,Interview & CV Preparation - Career Planning - Thurles,,8,,Health,https://www.qualifax.ie/course/223577,1,0,,,2025-01-25T15:00:00,0
,Special Needs Assistant - Community Health Services,,8,,Health,https://www.qualifax.ie/course/6030,1,0,,,2025-01-25T15:00:00,0
,Sustainable Horticulture with Biodiversity,,8,,General,https://www.qualifax.ie/course/223077,1,0,,,2025-01-25T15:00:00,0
,'Inside Social Care' Open Day,,8,,Health,https://www.qualifax.ie/events/inside-social-care-open-day,1,0,,,2025-01-25T15:00:00,0
,2026 Deadline for Completion of DARE Application Form,,8,,General,https://www.qualifax.ie/events/2026-deadline-for-completion-of-dare-application-form,1,0,,,2025-01-25T15:00:00,0
,2026 Deadline for Completion of the Online HEAR Application Form,,8,,General,https://www.qualifax.ie/events/2026-deadline-for-completion-of-the-online-hear-application-form,1,0,,,2025-01-25T15:00:00,0
,2026 Latest Date for DARE Supporting Documents to arrive in CAO,,8,,General,https://www.qualifax.ie/events/2026-latest-date-for-dare-supporting-documents-to-arrive-in-cao,1,0,,,2025-01-25T15:00:00,1
,2026 Latest Date for HEAR Supporting Documents to arrive in CAO,,8,,General,https://www.qualifax.ie/events/2026-latest-date-for-hear-supporting-documents-to-arrive-in-cao,1,0,,,2025-01-25T15:00:00,1
,2D & 3D Digital Animation Production,,8,,General,https://www.qualifax.ie/course/97195,1,0,,,2025-01-25T15:00:00,1
,2D Computer Aided Design,,8,,STEM,https://www.qualifax.ie/course/223527,1,0,,,2025-01-25T15:00:00,1
,3D Animation,,8,,General,https://www.qualifax.ie/course/114153,1,0,,,2025-01-25T15:00:00,1
,3D Animation - with Motion Graphics,,8,,General,https://www.qualifax.ie/course/109021,1,0,,,2025-01-25T15:00:00,1
,3D Animation - with Portfolio Preparation,,8,,General,https://www.qualifax.ie/course/220061,1,0,,,2025-01-25T15:00:00,1
,3D Design for Emerging Technologies - Letterkenny,,8,,Arts,https://www.qualifax.ie/course/218444,1,0,,,2025-01-25T15:00:00,1
,3D Game Design,,8,,Arts,https://www.qualifax.ie/course/56640,1,0,,,2025-01-25T15:00:00,1
,3D Modelling & Animation - Letterkenny,,8,,General,https://www.qualifax.ie/course/115209,1,0,,,2025-01-25T15:00:00,1
,3rd Annual Health Care Assistants Study Day,,8,,Health,https://www.qualifax.ie/course/221902,1,0,,,2025-01-25T15:00:00,1
,5th Dublin Advanced Pain & Symptom Management Course,,8,,Business,https://www.qualifax.ie/course/219444,1,0,,,2025-01-25T15:00:00,1
,A new Qualifax experience,,8,,General,https://www.qualifax.ie/news/a-new-qualifax-experience,1,0,,,2025-01-25T15:00:00,1
,Abbeyleix Further Education & Training Centre,,8,,Education,https://www.qualifax.ie/providers/abbeyleix-further-education-training-centre,1,0,,,2025-01-25T15:00:00,1
,Ability Pathways (MAP) Project - Mapping Inclusive Futures,,8,,General,https://www.qualifax.ie/course/219998,1,0,,,2025-01-25T15:00:00,1
,Abrasive Wheels Instructor,,8,,General,https://www.qualifax.ie/course/223438,1,0,,,2025-01-25T15:00:00,1
,Access,,8,,General,https://www.qualifax.ie/course/94563,1,0,,,2025-01-25T15:00:00,1
,Access,,8,,General,https://www.qualifax.ie/course/94565,1,0,,,2025-01-25T15:00:00,1
,Access,,8,,General,https://www.qualifax.ie/course/95168,1,0,,,2025-01-25T15:00:00,1
,Access,,8,,General,https://www.qualifax.ie/course/95245,1,0,,,2025-01-25T15:00:00,1
,Access,,8,,General,https://www.qualifax.ie/course/95225,1,0,,,2025-01-25T15:00:00,1
,Access,,8,,General,https://www.qualifax.ie/course/94381,1,0,,,2025-01-25T15:00:00,1
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/94949,1,0,,,2025-01-25T15:00:00,1
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/94713,1,0,,,2025-01-25T15:00:00,1
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/110703,1,0,,,2025-01-25T15:00:00,1
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/95062,1,0,,,2025-01-25T15:00:00,2
,Access - Employability Skills,,8,,General,https://www.qualifax.ie/course/95068,1,0,,,2025-01-25T15:00:00,2
