cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at
,Pharmacy | Qualifax,Course from brute force scraping (ID: 2050),8,,General,https://www.qualifax.ie/course/2050,University College Cork,0,,,2025-01-25T15:00:00
,Nursing - General Nursing | Qualifax,Course from brute force scraping (ID: 2100),8,,Health,https://www.qualifax.ie/course/2100,University College Cork,0,,,2025-01-25T15:00:00
,History | Qualifax,Course from brute force scraping (ID: 3030),8,,General,https://www.qualifax.ie/course/3030,Trinity College Dublin,0,,,2025-01-25T15:00:00
,Music - Research | Qualifax,Course from brute force scraping (ID: 25020),8,,Arts,https://www.qualifax.ie/course/25020,Maynooth University,0,,,2025-01-25T15:00:00
,Sociology - Research | Qualifax,Course from brute force scraping (ID: 25030),8,,General,https://www.qualifax.ie/course/25030,Maynooth University,0,,,2025-01-25T15:00:00
,Fashion Design | Qualifax,Course from brute force scraping (ID: 21),8,,Arts,https://www.qualifax.ie/course/21,Unknown,0,,,2025-01-25T15:00:00
,Graphic Design | Qualifax,Course from brute force scraping (ID: 66),8,,Arts,https://www.qualifax.ie/course/66,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 106),8,,General,https://www.qualifax.ie/course/106,Unknown,0,,,2025-01-25T15:00:00
,Medicine - Undergraduate Entry | Qualifax,Course from brute force scraping (ID: 111),8,,Health,https://www.qualifax.ie/course/111,University College Dublin,0,,,2025-01-25T15:00:00
,Nursing - Mental Health Nursing | Qualifax,Course from brute force scraping (ID: 171),8,,Health,https://www.qualifax.ie/course/171,University College Cork,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 241),8,,General,https://www.qualifax.ie/course/241,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 256),8,,General,https://www.qualifax.ie/course/256,Unknown,0,,,2025-01-25T15:00:00
,Horticulture | Qualifax,Course from brute force scraping (ID: 301),8,,General,https://www.qualifax.ie/course/301,Unknown,0,,,2025-01-25T15:00:00
,Commerce | Qualifax,Course from brute force scraping (ID: 311),8,,General,https://www.qualifax.ie/course/311,University College Dublin,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 381),8,,General,https://www.qualifax.ie/course/381,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 391),8,,General,https://www.qualifax.ie/course/391,Unknown,0,,,2025-01-25T15:00:00
,Early Learning & Care Stage 1 | Qualifax,Course from brute force scraping (ID: 551),8,,General,https://www.qualifax.ie/course/551,Unknown,0,,,2025-01-25T15:00:00
,Web Design & Multimedia | Qualifax,Course from brute force scraping (ID: 566),8,,Arts,https://www.qualifax.ie/course/566,Maynooth University,0,,,2025-01-25T15:00:00
,Sustainable Construction Technologies (Construction Technology) | Qualifax,Course from brute force scraping (ID: 581),8,,STEM,https://www.qualifax.ie/course/581,Unknown,0,,,2025-01-25T15:00:00
,Beauty Therapy - Year 1 | Qualifax,Course from brute force scraping (ID: 696),8,,General,https://www.qualifax.ie/course/696,Unknown,0,,,2025-01-25T15:00:00
,Social Science | Qualifax,Course from brute force scraping (ID: 826),8,,STEM,https://www.qualifax.ie/course/826,University College Cork,0,,,2025-01-25T15:00:00
,Computing | Qualifax,Course from brute force scraping (ID: 856),8,,General,https://www.qualifax.ie/course/856,Unknown,0,,,2025-01-25T15:00:00
,Adult Green Cert - Part-time & Distance Learning Programme | Qualifax,Course from brute force scraping (ID: 876),8,,Arts,https://www.qualifax.ie/course/876,Unknown,0,,,2025-01-25T15:00:00
,Zoology | Qualifax,Course from brute force scraping (ID: 881),8,,General,https://www.qualifax.ie/course/881,Unknown,0,,,2025-01-25T15:00:00
,Nursing - Mental Health Nursing | Qualifax,Course from brute force scraping (ID: 901),8,,Health,https://www.qualifax.ie/course/901,University of Galway,0,,,2025-01-25T15:00:00
,Nursing - Mental Health Nursing | Qualifax,Course from brute force scraping (ID: 1051),8,,Health,https://www.qualifax.ie/course/1051,University College Dublin,0,,,2025-01-25T15:00:00
,Engineering - Electrical & Electronic Engineering | Qualifax,Course from brute force scraping (ID: 1066),8,,STEM,https://www.qualifax.ie/course/1066,Unknown,0,,,2025-01-25T15:00:00
,Office Administration | Qualifax,Course from brute force scraping (ID: 1096),8,,General,https://www.qualifax.ie/course/1096,Unknown,0,,,2025-01-25T15:00:00
,Engineering - Mechanical Engineering - Bolton Street | Qualifax,Course from brute force scraping (ID: 1231),8,,STEM,https://www.qualifax.ie/course/1231,Unknown,0,,,2025-01-25T15:00:00
