CAO_Code,Course_Name,Institution,Location,NFQ_Level,Duration,Categories,Course_URL,Description,Points_History
AC120,International Business,American College,,8,,Business,,,2024(1): 269; 2024(2): 269
AC137,Liberal Arts,American College,,8,,Arts,,,2024(1): 254; 2024(2): 254
AD101,First Year Art and Design  (Common Entry -  portfolio),National College of Art and Design,,8,,Arts,,,2024(1): 503
AD102,Graphic Design and Moing Image Design (portfolio),National College of Art and Design,,8,,Arts,,,2024(1): 694
AD103,Textile and Surface Design and Jewellery and Objects (portfolio),National College of Art and Design,,8,,Arts,,,2024(1): 568
AD104,Fine Art and Applied Art (portfolio),National College of Art and Design,,8,,Other,,,2024(1): 514
AD202,Education and Art  or Design (Second Leel Teaching - portfolio),National College of Art and Design,,8,,"Arts, Education",,,2024(1): 605
AD211,Fashion Design (portfolio),National College of Art and Design,,8,,Arts,,,2024(1): 695
AD212,Product Design (portfolio),National College of Art and Design,,8,,Arts,,,2024(1): 426
AD215,Visual Culture,National College of Art and Design,,8,,Other,,,2024(1): 319
AD217,Illustration (portfolio),National College of Art and Design,,8,,Other,,,2024(1): 727
AD222,Interaction Design (portfolio),National College of Art and Design,,8,,Arts,,,2024(1): 893
AU170,Health Science with Physiotherapy Studies,Atlantic Technological University,Letterkenny,7,,"STEM, Health",,,2024(1): 467
AU171,Health Science with Occupational Therapy Studies,Atlantic Technological University,Letterkenny,7,,"STEM, Health",,,2024(1): 437
AU172,Health Science with Dietetics Studies,Atlantic Technological University,Letterkenny,7,,"STEM, Health",,,2024(1): 320
AU173,Dental Nursing,Atlantic Technological University,Letterkenny,7,,Health,,,2024(1): 253
AU174,Pharmacy Technician,Atlantic Technological University,Letterkenny,7,,Health,,,2024(1): 201; 2024(2): 201
AU190,Early Childhood Care  Health and Education,Atlantic Technological University,Letterkenny,7,,"Health, Education",,,2024(1): 170
AU200,Business - Common Entry,Atlantic Technological University,Letterkenny,7,,Business,,,2024(1): 233
AU210,Law with Criminal Justice,Atlantic Technological University,Letterkenny,7,,Law,,,2024(1): 204
AU220,Culinary Arts,Atlantic Technological University,Letterkenny,7,,Arts,,,2024(1): 160; 2024(2): 160
AU221,Tourism and Hospitality Operations,Atlantic Technological University,Letterkenny,7,,Other,,,2024(1): 222
AU222,Sport and Exercise,Atlantic Technological University,Letterkenny,7,,Other,,,2024(1): 243; 2024(2): 236
AU230,Film and Media Production,Atlantic Technological University,Letterkenny,7,,Other,,,2024(1): 255
AU231,Animation [Letterkenny],Atlantic Technological University,Letterkenny,7,,Other,,,2024(1): 228
AU232,Fashion with Promotion [Letterkenny],Atlantic Technological University,Letterkenny,7,,Other,,,2024(1): 235
AU233,Graphic Design and Illustration [Letterkenny],Atlantic Technological University,Letterkenny,7,,Arts,,,2024(1): 225
AU240,Quantity Sureying,Atlantic Technological University,Letterkenny,7,,Other,,,2024(1): 226
AU241,Ciil Engineering,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 280
AU242,Construction - Common Entry,Atlantic Technological University,Letterkenny,7,,Other,,,2024(1): 235
AU243,Building Engineering - Common Entry,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 264
AU251,Mechanical Engineering,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 257
AU252,Electric Vehicle Engineering,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 224
AU253,Engineering - Common Entry,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 280
AU260,Computer Games Deelopment,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 268
AU261,Computing,Atlantic Technological University,Letterkenny,7,,Other,,,2024(1): 206; 2024(2): 206
AU262,Cybersecurity and Digital Forensics,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 261
AU270,Science - Common Entry,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 225; 2024(2): 225
AU271,Veterinary Nursing,Atlantic Technological University,Letterkenny,7,,Health,,,2024(1): 380
AU272,Agriculture,Atlantic Technological University,Letterkenny,7,,Other,,,2024(1): 251
AU290,Inclusie Practice for Special Needs Assistance,Atlantic Technological University,Letterkenny,7,,Other,,,2024(1): 252
AU300,Business - Accounting,Atlantic Technological University,Letterkenny,8,,Business,,,2024(1): 332
AU301,Business,Atlantic Technological University,Letterkenny,8,,Business,,,2024(1): 287
AU302,Marketing with Online Technologies,Atlantic Technological University,Letterkenny,8,,Business,,,2024(1): 307
AU310,LLB (Law),Atlantic Technological University,Letterkenny,8,,Law,,,2024(1): 327
AU311,Corporate Law,Atlantic Technological University,Letterkenny,8,,Law,,,2024(1): 319
AU312,Communications with English,Atlantic Technological University,Letterkenny,8,,Other,,,2024(1): 307
AU320,Sports and Exercise - Common Entry,Atlantic Technological University,Letterkenny,8,,Other,,,2024(1): 317
AU321,Athletic Therapy and Exercise Rehabilitation,Atlantic Technological University,Letterkenny,8,,Health,,,2024(1): 357
AU322,Hospitality Management,Atlantic Technological University,Letterkenny,8,,Business,,,2024(1): 291
AU330,Design - Common Entry [Letterkenny],Atlantic Technological University,Letterkenny,8,,Arts,,,2024(1): 312
AU340,Fire Safety Engineering,Atlantic Technological University,Letterkenny,8,,STEM,,,2024(1): 310
AU341,Quantity Sureying,Atlantic Technological University,Letterkenny,8,,Other,,,2024(1): 341
AU342,Construction Management,Atlantic Technological University,Letterkenny,8,,Business,,,2024(1): 300
AU343,Architectural Technology,Atlantic Technological University,Letterkenny,8,,STEM,,,2024(1): 326
AU350,Mechanical Engineering,Atlantic Technological University,Letterkenny,8,,STEM,,,2024(1): 360
AU351,Electronic Engineering,Atlantic Technological University,Letterkenny,8,,STEM,,,2024(1): 342
AU360,Applied Computing,Atlantic Technological University,Letterkenny,8,,Other,,,2024(1): 308
AU361,Computer Science,Atlantic Technological University,Letterkenny,8,,STEM,,,2024(1): 327
AU362,Cyberpsychology,Atlantic Technological University,Letterkenny,8,,STEM,,,2024(1): 320
AU363,Computing in Data Science and Artificial Intelligence,Atlantic Technological University,Letterkenny,8,,STEM,,,2024(1): 345
AU370,Food Science and Nutrition,Atlantic Technological University,Letterkenny,8,,STEM,,,2024(1): 308
AU371,Agriculture - Common Entry,Atlantic Technological University,Letterkenny,8,,Other,,,2024(1): 316
AU372,Bioanalytical Science,Atlantic Technological University,Letterkenny,8,,STEM,,,2024(1): 369
AU373,Pharmaceutical and Medicinal Science,Atlantic Technological University,Letterkenny,8,,STEM,,,2024(1): 346
AU380,General Nursing,Atlantic Technological University,Letterkenny,8,,Health,,,2024(1): 343
AU381,Mental Health Nursing,Atlantic Technological University,Letterkenny,8,,Health,,,2024(1): 272
AU382,Intellectual Disability Nursing,Atlantic Technological University,Letterkenny,8,,Health,,,2024(1): 271
AU390,Early Childhood Care  Health and Education,Atlantic Technological University,Letterkenny,8,,"Health, Education",,,2024(1): 300
AU391,Health and Social Care,Atlantic Technological University,Letterkenny,8,,Health,,,2024(1): 308
AU401,Business,Atlantic Technological University,Letterkenny,7,,Business,,,2024(1): 162; 2024(2): 162
AU425,Heritage,Atlantic Technological University,Letterkenny,7,,Other,,,2024(1): 250
AU426,Business in Tourism,Atlantic Technological University,Letterkenny,7,,Business,,,2024(1): 214; 2024(2): 214
AU429,Culinary Arts Professional Chef Programme,Atlantic Technological University,Letterkenny,7,,Arts,,,2024(1): 216; 2024(2): 216
AU491,Early Childhood Education and Care,Atlantic Technological University,Letterkenny,7,,Education,,,2024(1): 187; 2024(2): 187
AU501,Business,Atlantic Technological University,Letterkenny,7,,Business,,,2024(1): 224
AU502,Business Information Systems,Atlantic Technological University,Letterkenny,7,,Business,,,2024(1): 253
AU503,Marketing and Sales,Atlantic Technological University,Letterkenny,7,,Business,,,2024(1): 251
AU505,Business with Entrepreneurship,Atlantic Technological University,Letterkenny,7,,Business,,,2024(1): 254
AU506,Rural Enterprise and Agri-Business [Mountbellew],Atlantic Technological University,Letterkenny,7,,Business,,,2024(1): 506
AU518,Art (portfolio) [Galway],Atlantic Technological University,Letterkenny,7,,Other,,,2024(1): 513
AU519,Design - Common Entry,Atlantic Technological University,Letterkenny,7,,Arts,,,2024(1): 251
AU531,Gastronomy Science and Food Innoation,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 232
AU532,Tourism  Hospitality and Eent Management - Common Entry,Atlantic Technological University,Letterkenny,7,,Business,,,2024(1): 224
AU535,Construction Management,Atlantic Technological University,Letterkenny,7,,Business,,,2024(1): 262
AU536,Quantity Sureying and Construction Economics,Atlantic Technological University,Letterkenny,7,,Business,,,2024(1): 251
AU537,Architectural Technology,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 255
AU538,Ciil Engineering,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 302
AU542,Software and Electronic Engineering,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 250
AU545,Mechanical Engineering,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 303
AU546,Energy Engineering [Galway],Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 546
AU547,Biomedical Engineering,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 300
AU548,Agricultural Engineering [Galway],Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 548
AU549,Engineering - Common Entry,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 317
AU550,Manufacturing Engineering Design [Galway],Atlantic Technological University,Letterkenny,7,,"STEM, Arts",,,2024(1): 550
AU555,Applied Freshwater and Marine Biology,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 300
AU556,Science - undenominated,Atlantic Technological University,Letterkenny,7,,STEM,,,2024(1): 280
