CAO_Code,Course_Name,Institution,Location,NFQ_Level,Duration,Categories,Course_URL,Description,Points_History
AC120,International Business,American College,,8,,Business,,,2024(1): 269; 2024(2): 269
AC137,Liberal Arts,American College,,8,,Arts,,,2024(1): 254; 2024(2): 254
AD101,First Year Art and Design  (Common Entry -  portfolio)                     512     503,National College of Art and Design,,8,,Arts,,,
AD102,Graphic Design and Moing Image Design (portfolio)                         694,National College of Art and Design,,8,,Arts,,,
AD103,Textile and Surface Design and Jewellery and Objects (portfolio)           568,National College of Art and Design,,8,,Arts,,,
AD104,Fine Art and Applied Art (portfolio)                                       524     514,National College of Art and Design,,8,,Other,,,
AD202,Education and Art  or Design (Second Leel Teaching - portfolio)           605,National College of Art and Design,,8,,"Arts, Education",,,
AD211,Fashion Design (portfolio)                                                 695,National College of Art and Design,,8,,Arts,,,
AD212,Product Design (portfolio)                                                 426,National College of Art and Design,,8,,Arts,,,
AD215,Visual Culture,National College of Art and Design,,8,,Other,,,2024(1): 319
AD217,Illustration (portfolio)                                                   727,National College of Art and Design,,8,,Other,,,
AD222,Interaction Design (portfolio)                                             893,National College of Art and Design,,8,,Arts,,,
AU170,Health Science with Physiotherapy Studies [Letterkenny]                    467,Atlantic Technological University,,7,,"STEM, Health",,,
AU171,Health Science with Occupational Therapy Studies [Letterkenny],Atlantic Technological University,,7,,"STEM, Health",,,2024(1): 437
AU172,Health Science with Dietetics Studies [Letterkenny],Atlantic Technological University,,7,,"STEM, Health",,,2024(1): 320
AU173,Dental Nursing [Letterkenny],Atlantic Technological University,,7,,Health,,,2024(1): 253
AU174,Pharmacy Technician [Letterkenny],Atlantic Technological University,,7,,Health,,,2024(1): 201; 2024(2): 201
AU190,Early Childhood Care  Health and Education [Letterkenny],Atlantic Technological University,,7,,"Health, Education",,,2024(1): 170
AU200,Business - Common Entry [Letterkenny],Atlantic Technological University,,7,,Business,,,2024(1): 233
AU210,Law with Criminal Justice [Letterkenny],Atlantic Technological University,,7,,Law,,,2024(1): 204
AU220,Culinary Arts [Killybegs],Atlantic Technological University,,7,,Arts,,,2024(1): 160; 2024(2): 160
AU221,Tourism and Hospitality Operations [Letterkenny],Atlantic Technological University,,7,,Other,,,2024(1): 222
AU222,Sport and Exercise [Letterkenny],Atlantic Technological University,,7,,Other,,,2024(1): 243; 2024(2): 236
AU230,Film and Media Production [Letterkenny],Atlantic Technological University,,7,,Other,,,2024(1): 255
AU231,Animation [Letterkenny]                                                    228,Atlantic Technological University,,7,,Other,,,
AU232,Fashion with Promotion [Letterkenny]                                       235,Atlantic Technological University,,7,,Other,,,
AU233,Graphic Design and Illustration [Letterkenny]                              225,Atlantic Technological University,,7,,Arts,,,
AU240,Quantity Sureying [Letterkenny],Atlantic Technological University,,7,,Other,,,2024(1): 226
AU241,Ciil Engineering [Letterkenny],Atlantic Technological University,,7,,STEM,,,2024(1): 280
AU242,Construction - Common Entry [Letterkenny],Atlantic Technological University,,7,,Other,,,2024(1): 235
AU243,Building Engineering - Common Entry [Letterkenny],Atlantic Technological University,,7,,STEM,,,2024(1): 264
AU251,Mechanical Engineering [Letterkenny],Atlantic Technological University,,7,,STEM,,,2024(1): 257
AU252,Electric Vehicle Engineering [Letterkenny],Atlantic Technological University,,7,,STEM,,,2024(1): 224
AU253,Engineering - Common Entry [Letterkenny],Atlantic Technological University,,7,,STEM,,,2024(1): 280
AU260,Computer Games Deelopment [Letterkenny],Atlantic Technological University,,7,,STEM,,,2024(1): 268
AU261,Computing [Letterkenny],Atlantic Technological University,,7,,Other,,,2024(1): 206; 2024(2): 206
AU262,Cybersecurity and Digital Forensics [Letterkenny],Atlantic Technological University,,7,,STEM,,,2024(1): 261
AU270,Science - Common Entry [Letterkenny],Atlantic Technological University,,7,,STEM,,,2024(1): 225; 2024(2): 225
AU271,Veterinary Nursing [Letterkenny],Atlantic Technological University,,7,,Health,,,2024(1): 380
AU272,Agriculture [Letterkenny],Atlantic Technological University,,7,,Other,,,2024(1): 251
AU290,Inclusie Practice for Special Needs Assistance [Letterkenny],Atlantic Technological University,,7,,Other,,,2024(1): 252
AU300,Business - Accounting [Letterkenny],Atlantic Technological University,,8,,Business,,,2024(1): 332
AU301,Business [Letterkenny],Atlantic Technological University,,8,,Business,,,2024(1): 287
AU302,Marketing with Online Technologies [Letterkenny],Atlantic Technological University,,8,,Business,,,2024(1): 307
AU310,LLB (Law) [Letterkenny],Atlantic Technological University,,8,,Law,,,2024(1): 327
AU311,Corporate Law [Letterkenny],Atlantic Technological University,,8,,Law,,,2024(1): 319
AU312,Communications with English [Letterkenny],Atlantic Technological University,,8,,Other,,,2024(1): 307
AU320,Sports and Exercise - Common Entry [Letterkenny],Atlantic Technological University,,8,,Other,,,2024(1): 317
AU321,Athletic Therapy and Exercise Rehabilitation [Letterkenny],Atlantic Technological University,,8,,Health,,,2024(1): 357
AU322,Hospitality Management [Letterkenny],Atlantic Technological University,,8,,Business,,,2024(1): 291
AU330,Design - Common Entry [Letterkenny]                                        312,Atlantic Technological University,,8,,Arts,,,
AU340,Fire Safety Engineering [Letterkenny],Atlantic Technological University,,8,,STEM,,,2024(1): 310
AU341,Quantity Sureying [Letterkenny],Atlantic Technological University,,8,,Other,,,2024(1): 341
AU342,Construction Management [Letterkenny],Atlantic Technological University,,8,,Business,,,2024(1): 300
AU343,Architectural Technology [Letterkenny],Atlantic Technological University,,8,,STEM,,,2024(1): 326
AU350,Mechanical Engineering [Letterkenny],Atlantic Technological University,,8,,STEM,,,2024(1): 360
AU351,Electronic Engineering [Letterkenny],Atlantic Technological University,,8,,STEM,,,2024(1): 342
AU360,Applied Computing [Letterkenny],Atlantic Technological University,,8,,Other,,,2024(1): 308
AU361,Computer Science [Letterkenny],Atlantic Technological University,,8,,STEM,,,2024(1): 327
AU362,Cyberpsychology [Letterkenny],Atlantic Technological University,,8,,STEM,,,2024(1): 320
AU363,Computing in Data Science and Artificial Intelligence [Letterkenny],Atlantic Technological University,,8,,STEM,,,2024(1): 345
AU370,Food Science and Nutrition [Letterkenny],Atlantic Technological University,,8,,STEM,,,2024(1): 308
AU371,Agriculture - Common Entry [Letterkenny],Atlantic Technological University,,8,,Other,,,2024(1): 316
AU372,Bioanalytical Science [Letterkenny],Atlantic Technological University,,8,,STEM,,,2024(1): 369
AU373,Pharmaceutical and Medicinal Science [Letterkenny],Atlantic Technological University,,8,,STEM,,,2024(1): 346
AU380,General Nursing [Letterkenny],Atlantic Technological University,,8,,Health,,,2024(1): 343
AU381,Mental Health Nursing [Letterkenny],Atlantic Technological University,,8,,Health,,,2024(1): 272
AU382,Intellectual Disability Nursing [Letterkenny],Atlantic Technological University,,8,,Health,,,2024(1): 271
AU390,Early Childhood Care  Health and Education [Letterkenny],Atlantic Technological University,,8,,"Health, Education",,,2024(1): 300
AU391,Health and Social Care [Letterkenny],Atlantic Technological University,,8,,Health,,,2024(1): 308
AU401,Business [Galway],Atlantic Technological University,,7,,Business,,,2024(1): 162; 2024(2): 162
AU425,Heritage [Galway],Atlantic Technological University,,7,,Other,,,2024(1): 250
AU426,Business in Tourism [Galway],Atlantic Technological University,,7,,Business,,,2024(1): 214; 2024(2): 214
AU429,Culinary Arts Professional Chef Programme [Galway],Atlantic Technological University,,7,,Arts,,,2024(1): 216; 2024(2): 216
AU491,Early Childhood Education and Care [Castlebar],Atlantic Technological University,,7,,Education,,,2024(1): 187; 2024(2): 187
AU501,Business [Galway],Atlantic Technological University,,7,,Business,,,2024(1): 224
AU502,Business Information Systems [Galway],Atlantic Technological University,,7,,Business,,,2024(1): 253
AU503,Marketing and Sales [Galway],Atlantic Technological University,,7,,Business,,,2024(1): 251
AU505,Business with Entrepreneurship [Galway],Atlantic Technological University,,7,,Business,,,2024(1): 254
AU506,Rural Enterprise and Agri-Business [Mountbellew],Atlantic Technological University,,7,,Business,,,
AU518,Art (portfolio) [Galway]                                                   513,Atlantic Technological University,,7,,Other,,,
AU519,Design - Common Entry [Galway],Atlantic Technological University,,7,,Arts,,,2024(1): 251
AU531,Gastronomy Science and Food Innoation [Galway],Atlantic Technological University,,7,,STEM,,,2024(1): 232
AU532,Tourism  Hospitality and Eent Management - Common Entry [Galway],Atlantic Technological University,,7,,Business,,,2024(1): 224
AU535,Construction Management [Galway],Atlantic Technological University,,7,,Business,,,2024(1): 262
AU536,Quantity Sureying and Construction Economics [Galway],Atlantic Technological University,,7,,Business,,,2024(1): 251
AU537,Architectural Technology [Galway],Atlantic Technological University,,7,,STEM,,,2024(1): 255
AU538,Ciil Engineering [Galway],Atlantic Technological University,,7,,STEM,,,2024(1): 302
AU542,Software and Electronic Engineering [Galway],Atlantic Technological University,,7,,STEM,,,2024(1): 250
AU545,Mechanical Engineering [Galway],Atlantic Technological University,,7,,STEM,,,2024(1): 303
AU546,Energy Engineering [Galway],Atlantic Technological University,,7,,STEM,,,
AU547,Biomedical Engineering [Galway],Atlantic Technological University,,7,,STEM,,,2024(1): 300
AU548,Agricultural Engineering [Galway],Atlantic Technological University,,7,,STEM,,,
AU549,Engineering - Common Entry [Galway],Atlantic Technological University,,7,,STEM,,,2024(1): 317
AU550,Manufacturing Engineering Design [Galway],Atlantic Technological University,,7,,"STEM, Arts",,,
AU555,Applied Freshwater and Marine Biology [Galway],Atlantic Technological University,,7,,STEM,,,2024(1): 300
AU556,Science - undenominated [Galway],Atlantic Technological University,,7,,STEM,,,2024(1): 280
AU557,Agriculture and Enironmental Management [Mountbellew],Atlantic Technological University,,7,,Business,,,2024(1): 269
AU568,Chemical and Pharmaceutical Science [Galway],Atlantic Technological University,,7,,STEM,,,2024(1): 306
