id,course_code,year,round_num,points,created_at
1,US807,2024,1,307,"2025-08-07 22:49:48"
2,US808,2024,1,299,"2025-08-07 22:49:48"
3,US809,2024,1,290,"2025-08-07 22:49:48"
4,US812,2024,1,432,"2025-08-07 22:49:48"
5,US820,2024,1,338,"2025-08-07 22:49:48"
6,US821,2024,1,289,"2025-08-07 22:49:48"
7,US821,2024,2,281,"2025-08-07 22:49:48"
8,US822,2024,1,333,"2025-08-07 22:49:48"
9,US823,2024,1,300,"2025-08-07 22:49:48"
10,US824,2024,1,423,"2025-08-07 22:49:48"
11,US825,2024,1,254,"2025-08-07 22:49:48"
12,US826,2024,1,306,"2025-08-07 22:49:48"
13,US827,2024,1,328,"2025-08-07 22:49:48"
14,US828,2024,1,270,"2025-08-07 22:49:48"
15,US829,2024,1,222,"2025-08-07 22:49:48"
16,US837,2024,1,318,"2025-08-07 22:49:48"
17,US838,2024,1,292,"2025-08-07 22:49:48"
18,US840,2024,1,289,"2025-08-07 22:49:48"
19,US841,2024,1,300,"2025-08-07 22:49:48"
20,US842,2024,1,220,"2025-08-07 22:49:48"
21,US843,2024,1,253,"2025-08-07 22:49:48"
22,US844,2024,1,235,"2025-08-07 22:49:48"
23,US845,2024,1,350,"2025-08-07 22:49:48"
24,US845,2024,2,323,"2025-08-07 22:49:48"
25,US846,2024,1,298,"2025-08-07 22:49:48"
26,US847,2024,1,309,"2025-08-07 22:49:48"
27,US848,2024,1,280,"2025-08-07 22:49:48"
28,US849,2024,1,307,"2025-08-07 22:49:48"
29,US850,2024,1,327,"2025-08-07 22:49:48"
30,US851,2024,1,251,"2025-08-07 22:49:48"
31,US852,2024,1,264,"2025-08-07 22:49:48"
32,US852,2024,2,264,"2025-08-07 22:49:48"
33,US853,2024,1,291,"2025-08-07 22:49:48"
34,US854,2024,1,303,"2025-08-07 22:49:48"
35,US855,2024,1,288,"2025-08-07 22:49:48"
36,US860,2024,1,378,"2025-08-07 22:49:48"
37,US861,2024,1,324,"2025-08-07 22:49:48"
38,US862,2024,1,308,"2025-08-07 22:49:48"
39,US863,2024,1,441,"2025-08-07 22:49:48"
40,US864,2024,1,309,"2025-08-07 22:49:48"
41,US865,2024,1,305,"2025-08-07 22:49:48"
42,US866,2024,1,280,"2025-08-07 22:49:48"
43,US867,2024,1,289,"2025-08-07 22:49:48"
44,US868,2024,1,289,"2025-08-07 22:49:48"
45,US869,2024,1,347,"2025-08-07 22:49:48"
46,US870,2024,1,302,"2025-08-07 22:49:48"
47,US870,2024,2,281,"2025-08-07 22:49:48"
48,US877,2024,1,378,"2025-08-07 22:49:48"
49,US878,2024,1,299,"2025-08-07 22:49:48"
50,US880,2024,1,288,"2025-08-07 22:49:48"
51,US881,2024,1,308,"2025-08-07 22:49:48"
52,US882,2024,1,306,"2025-08-07 22:49:48"
53,US883,2024,1,300,"2025-08-07 22:49:48"
54,US884,2024,1,290,"2025-08-07 22:49:48"
55,US885,2024,1,280,"2025-08-07 22:49:48"
56,US886,2024,1,358,"2025-08-07 22:49:48"
57,US887,2024,1,437,"2025-08-07 22:49:48"
58,US900,2024,1,347,"2025-08-07 22:49:48"
59,US901,2024,1,304,"2025-08-07 22:49:48"
60,US902,2024,1,328,"2025-08-07 22:49:48"
61,US903,2024,1,278,"2025-08-07 22:49:48"
62,US909,2024,1,319,"2025-08-07 22:49:48"
63,US910,2024,1,309,"2025-08-07 22:49:48"
64,US911,2024,1,318,"2025-08-07 22:49:48"
65,US912,2024,1,342,"2025-08-07 22:49:48"
66,US913,2024,1,369,"2025-08-07 22:49:48"
67,US914,2024,1,246,"2025-08-07 22:49:48"
68,US915,2024,1,314,"2025-08-07 22:49:48"
69,US916,2024,1,318,"2025-08-07 22:49:48"
